0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:06 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:06 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:38 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:51 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/May/2023:11:41:07 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/May/2023:11:41:17 +0900] "GET /step6-action.jsp?name=%ED%99%8D%EC%A4%80%EC%84%9D&food=%EB%AA%A9%EC%82%B4&food=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4&food=%EC%BD%9C%EB%9D%BC HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:33 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:33 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:34 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:34 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:34 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:34 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:11:47 +0900] "POST /step6-action.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [10/May/2023:12:13:38 +0900] "GET /step6-form.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [10/May/2023:12:13:44 +0900] "POST /step6-action.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [10/May/2023:12:21:33 +0900] "GET /step7.jsp HTTP/1.1" 500 2455
0:0:0:0:0:0:0:1 - - [10/May/2023:12:21:48 +0900] "GET /step7.jsp HTTP/1.1" 500 2455
0:0:0:0:0:0:0:1 - - [10/May/2023:12:21:48 +0900] "GET /step7.jsp HTTP/1.1" 500 2232
0:0:0:0:0:0:0:1 - - [10/May/2023:12:21:48 +0900] "GET /step7.jsp HTTP/1.1" 500 2232
